NÚMERO DE VACAS,STOC,ÍNDICE,TOURO NAAB,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %
1842,CN,31,029HO18689,011HO17399,AltaINSPIRE 4,2.68,011HO17721,AltaYOSHI,1.07,011HO17733,AltaFANZONE,2.41
1847,CN,-45,029HO17944,011HO17733,AltaFANZONE,1.44,011HO17721,AltaYOSHI,1.18,,,
1853,CN,209,029HO18225,011HO17399,AltaINSPIRE 4,2.23,011HO17733,AltaFANZONE,2.82,011HO17721,AltaYOSHI,1.85
1860,CN,-58,029HO17944,011HO17733,AltaFANZONE,1.44,011HO17721,AltaYOSHI,1.28,,,
1861,CN,171,200HO10955,011HO17721,AltaYOSHI,2.61,011HO17399,AltaINSPIRE 4,6.41,011HO17733,AltaFANZONE,1.87
1871,CN,63,777HO10693,011HO17399,AltaINSPIRE 4,2.15,011HO17721,AltaYOSHI,1.18,011HO17733,AltaFANZONE,2.88
1873,CN,-215,029HO14258,011HO17733,AltaFANZONE,0.72,011HO17721,AltaYOSHI,0.49,011HO17399,AltaINSPIRE 4,0.41
1874,CN,163,029HO19010,011HO17721,AltaYOSHI,1.94,011HO17733,AltaFANZONE,3.43,,,
1876,CN,147,029HO19286,011HO17721,AltaYOSHI,2.27,011HO17733,AltaFANZONE,3.35,011HO17399,AltaINSPIRE 4,3.33
1879,CN,29,203HO01468,011HO17399,AltaINSPIRE 4,2.25,011HO17721,AltaYOSHI,1.75,011HO17733,AltaFANZONE,3.08
1881,CN,200,029HO18708,011HO17721,AltaYOSHI,2.65,011HO17399,AltaINSPIRE 4,4.34,011HO17733,AltaFANZONE,4.22
1882,CN,214,029HO18343,011HO17721,AltaYOSHI,1.64,011HO17399,AltaINSPIRE 4,3.14,011HO17733,AltaFANZONE,2.60
1884,CN,278,011HO15088,011HO17721,AltaYOSHI,1.65,011HO17399,AltaINSPIRE 4,2.82,011HO17733,AltaFANZONE,3.04
1889,CN,326,029HO19398,011HO17399,AltaINSPIRE 4,3.41,011HO17733,AltaFANZONE,3.54,011HO17721,AltaYOSHI,2.31
1895,CN,84,777HO10693,011HO17399,AltaINSPIRE 4,2.15,011HO17721,AltaYOSHI,1.18,011HO17733,AltaFANZONE,2.88
1900,CN,96,029HO18611,011HO17733,AltaFANZONE,3.97,011HO17721,AltaYOSHI,2.70,,,
1901,CN,272,029HO18960,011HO17399,AltaINSPIRE 4,2.94,011HO17733,AltaFANZONE,6.38,011HO17721,AltaYOSHI,2.41
1913,CN,288,029HO19000,011HO17733,AltaFANZONE,4.61,011HO17399,AltaINSPIRE 4,3.23,011HO17721,AltaYOSHI,2.49
1919,CN,218,029HO19809,011HO17399,AltaINSPIRE 4,2.07,011HO17733,AltaFANZONE,3.36,011HO17721,AltaYOSHI,3.14
1934,CN,81,029HO18296,011HO17733,AltaFANZONE,3.19,011HO17721,AltaYOSHI,1.52,,,
1938,CN,163,029HO19010,011HO17721,AltaYOSHI,1.94,011HO17733,AltaFANZONE,3.43,,,
1940,CN,189,029HO19286,011HO17721,AltaYOSHI,1.83,011HO17399,AltaINSPIRE 4,2.51,011HO17733,AltaFANZONE,3.23
1941,CN,147,029HO19000,011HO17733,AltaFANZONE,3.63,011HO17721,AltaYOSHI,1.52,011HO17399,AltaINSPIRE 4,2.22
1944,CN,-175,200HO06639,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.31,011HO17399,AltaINSPIRE 4,0.00
1946,CN,81,029HO18208,011HO17399,AltaINSPIRE 4,1.62,011HO17721,AltaYOSHI,1.48,011HO17733,AltaFANZONE,2.54
1948,CN,186,011HO15703,011HO17721,AltaYOSHI,2.77,011HO17399,AltaINSPIRE 4,3.28,011HO17733,AltaFANZONE,2.88
1950,CN,-39,007HO12600,011HO17399,AltaINSPIRE 4,1.32,011HO17721,AltaYOSHI,1.23,011HO17733,AltaFANZONE,1.78
1953,CN,79,029HO17918,011HO17399,AltaINSPIRE 4,1.75,011HO17721,AltaYOSHI,1.90,011HO17733,AltaFANZONE,2.91
1956,CN,-180,200HO06639,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.31,011HO17399,AltaINSPIRE 4,0.00
